Borough,Grade,Year,Demographic,Total Tested,Num Level 1,Num Level 2,Level 1 + 2,Level 3 + 4,Below %,Above %
BRONX,All Grades,2006,Asian,3442,363,657,1020,2422,29.63,70
BRONX,All Grades,2006,Black,31163,6968,10819,17787,13376,57.08,43
BRONX,All Grades,2006,Hispanic,59068,13226,20203,33429,25639,56.59,43
BRONX,All Grades,2006,White,3661,397,781,1178,2483,32.18,68
BRONX,All Grades,2007,Asian,3455,245,541,786,2669,22.75,77
BRONX,All Grades,2007,Black,30635,5097,10055,15152,15483,49.46,51
BRONX,All Grades,2007,Hispanic,58704,9302,18681,27983,30721,47.67,52
BRONX,All Grades,2007,White,3616,288,661,949,2667,26.24,74
BRONX,All Grades,2008,Asian,3422,144,401,545,2877,15.93,84
BRONX,All Grades,2008,Black,29404,3062,8207,11269,18135,38.32,62
BRONX,All Grades,2008,Hispanic,57339,5472,15148,20620,36719,35.96,64
BRONX,All Grades,2008,White,3583,164,503,667,2916,18.62,81
BRONX,All Grades,2009,Asian,3515,101,287,388,3127,11.04,89
BRONX,All Grades,2009,Black,28743,1567,6453,8020,20723,27.9,72
BRONX,All Grades,2009,Hispanic,57464,2927,11880,14807,42657,25.77,74
BRONX,All Grades,2009,White,3571,90,402,492,3079,13.78,86
BRONX,All Grades,2010,Asian,3611,231,830,1061,2550,29.38,71
BRONX,All Grades,2010,Black,28215,4736,13085,17821,10394,63.16,37
BRONX,All Grades,2010,Hispanic,58031,9116,25473,34589,23442,59.6,40
BRONX,All Grades,2010,White,3612,272,1041,1313,2299,36.35,64
BRONX,All Grades,2011,Asian,3448,210,699,909,2539,26.36,74
BRONX,All Grades,2011,Black,27461,4266,12146,16412,11049,59.76,40
BRONX,All Grades,2011,Hispanic,58710,8584,24873,33457,25253,56.99,43
BRONX,All Grades,2011,White,3686,249,971,1220,2466,33.1,67
BRONX,All Grades,2012,Asian,3526,164,640,804,2722,22.8,77
BRONX,All Grades,2012,Black,26906,4040,11497,15537,11369,57.75,42
BRONX,All Grades,2012,Hispanic,58516,8535,23458,31993,26523,54.67,45
BRONX,All Grades,2012,White,3725,246,917,1163,2562,31.22,69
BROOKLYN,All Grades,2006,Asian,15324,718,1767,2485,12839,16.22,84
BROOKLYN,All Grades,2006,Black,65510,12596,21190,33786,31724,51.57,48
BROOKLYN,All Grades,2006,Hispanic,38809,7036,12052,19088,19721,49.18,51
BROOKLYN,All Grades,2006,White,19431,1340,3180,4520,14911,23.26,77
BROOKLYN,All Grades,2007,Asian,15714,510,1406,1916,13798,12.19,88
BROOKLYN,All Grades,2007,Black,63449,8509,19010,27519,35930,43.37,57
BROOKLYN,All Grades,2007,Hispanic,38540,4875,10481,15356,23184,39.84,60
BROOKLYN,All Grades,2007,White,19100,963,2547,3510,15590,18.38,82
BROOKLYN,All Grades,2008,Asian,16316,310,998,1308,15008,8.02,92
BROOKLYN,All Grades,2008,Black,60131,4834,14740,19574,40557,32.55,67
BROOKLYN,All Grades,2008,Hispanic,37538,2864,8416,11280,26258,30.05,70
BROOKLYN,All Grades,2008,White,18538,566,1732,2298,16240,12.4,88
BROOKLYN,All Grades,2009,Asian,16963,178,811,989,15974,5.83,94
BROOKLYN,All Grades,2009,Black,58358,2502,11316,13818,44540,23.68,76
BROOKLYN,All Grades,2009,Hispanic,37121,1500,6499,7999,29122,21.55,78
BROOKLYN,All Grades,2009,White,18365,299,1244,1543,16822,8.4,92
BROOKLYN,All Grades,2010,Asian,18368,650,2974,3624,14744,19.73,80
BROOKLYN,All Grades,2010,Black,56794,7870,24715,32585,24209,57.37,43
BROOKLYN,All Grades,2010,Hispanic,36978,4749,15306,20055,16923,54.23,46
BROOKLYN,All Grades,2010,White,18631,850,3979,4829,13802,25.92,74
BROOKLYN,All Grades,2011,Asian,18423,578,2579,3157,15266,17.14,83
BROOKLYN,All Grades,2011,Black,55083,6937,22670,29607,25476,53.75,46
BROOKLYN,All Grades,2011,Hispanic,37354,4500,14860,19360,17994,51.83,48
BROOKLYN,All Grades,2011,White,19063,870,3495,4365,14698,22.9,77
BROOKLYN,All Grades,2012,Asian,18625,497,2283,2780,15845,14.93,85
BROOKLYN,All Grades,2012,Black,52431,6352,20715,27067,25364,51.62,48
BROOKLYN,All Grades,2012,Hispanic,36944,4067,13619,17686,19258,47.87,52
BROOKLYN,All Grades,2012,White,19951,798,3341,4139,15812,20.75,79
MANHATTAN,All Grades,2006,Asian,6098,158,453,611,5487,10.02,90
MANHATTAN,All Grades,2006,Black,15161,3045,5427,8472,6689,55.88,44
MANHATTAN,All Grades,2006,Hispanic,31467,5706,10509,16215,15252,51.53,48
MANHATTAN,All Grades,2006,White,6986,204,636,840,6146,12.02,88
MANHATTAN,All Grades,2007,Asian,6123,91,374,465,5658,7.59,92
MANHATTAN,All Grades,2007,Black,14118,2007,4648,6655,7463,47.14,53
MANHATTAN,All Grades,2007,Hispanic,29961,3793,9235,13028,16933,43.48,57
MANHATTAN,All Grades,2007,White,7073,183,480,663,6410,9.37,91
MANHATTAN,All Grades,2008,Asian,6222,52,224,276,5946,4.44,96
MANHATTAN,All Grades,2008,Black,13110,1170,3676,4846,8264,36.96,63
MANHATTAN,All Grades,2008,Hispanic,28434,2183,6947,9130,19304,32.11,68
MANHATTAN,All Grades,2008,White,7348,125,364,489,6859,6.65,93
MANHATTAN,All Grades,2009,Asian,6427,21,142,163,6264,2.54,97
MANHATTAN,All Grades,2009,Black,12272,590,2669,3259,9013,26.56,73
MANHATTAN,All Grades,2009,Hispanic,27404,1118,4938,6056,21348,22.1,78
MANHATTAN,All Grades,2009,White,7675,95,287,382,7293,4.98,95
MANHATTAN,All Grades,2010,Asian,6752,122,676,798,5954,11.82,88
MANHATTAN,All Grades,2010,Black,11669,1823,5216,7039,4630,60.32,40
MANHATTAN,All Grades,2010,Hispanic,26624,3369,11216,14585,12039,54.78,45
MANHATTAN,All Grades,2010,White,8112,215,992,1207,6905,14.88,85
MANHATTAN,All Grades,2011,Asian,6460,107,565,672,5788,10.4,90
MANHATTAN,All Grades,2011,Black,10989,1527,4641,6168,4821,56.13,44
MANHATTAN,All Grades,2011,Hispanic,26049,3016,10205,13221,12828,50.75,49
MANHATTAN,All Grades,2011,White,8642,182,794,976,7666,11.29,89
MANHATTAN,All Grades,2012,Asian,6599,86,520,606,5993,9.18,91
MANHATTAN,All Grades,2012,Black,10561,1546,4294,5840,4721,55.3,45
MANHATTAN,All Grades,2012,Hispanic,25479,2890,9339,12229,13250,48,52
MANHATTAN,All Grades,2012,White,9244,255,911,1166,8078,12.61,87
QUEENS,All Grades,2006,Asian,31189,1195,3630,4825,26364,15.47,85
QUEENS,All Grades,2006,Black,27561,4516,8894,13410,14151,48.66,51
QUEENS,All Grades,2006,Hispanic,41239,5182,11379,16561,24678,40.16,60
QUEENS,All Grades,2006,White,16547,906,2702,3608,12939,21.8,78
QUEENS,All Grades,2007,Asian,31725,824,2648,3472,28253,10.94,89
QUEENS,All Grades,2007,Black,27152,3134,7703,10837,16315,39.91,60
QUEENS,All Grades,2007,Hispanic,41152,3269,9436,12705,28447,30.87,69
QUEENS,All Grades,2007,White,16259,646,1961,2607,13652,16.03,84
QUEENS,All Grades,2008,Asian,31958,460,1758,2218,29740,6.94,93
QUEENS,All Grades,2008,Black,26418,1945,6234,8179,18239,30.96,69
QUEENS,All Grades,2008,Hispanic,41074,1897,7137,9034,32040,21.99,78
QUEENS,All Grades,2008,White,16143,414,1396,1810,14333,11.21,89
QUEENS,All Grades,2009,Asian,33081,268,1263,1531,31550,4.63,95
QUEENS,All Grades,2009,Black,25983,1030,4971,6001,19982,23.1,77
QUEENS,All Grades,2009,Hispanic,41214,1061,5232,6293,34921,15.27,85
QUEENS,All Grades,2009,White,16753,219,972,1191,15562,7.11,93
QUEENS,All Grades,2010,Asian,34264,900,5195,6095,28169,17.79,82
QUEENS,All Grades,2010,Black,25828,3539,11752,15291,10537,59.2,41
QUEENS,All Grades,2010,Hispanic,42250,3549,15434,18983,23267,44.93,55
QUEENS,All Grades,2010,White,16992,714,3697,4411,12581,25.96,74
QUEENS,All Grades,2011,Asian,34554,819,4578,5397,29157,15.62,84
QUEENS,All Grades,2011,Black,25347,2997,10915,13912,11435,54.89,45
QUEENS,All Grades,2011,Hispanic,43575,3308,14933,18241,25334,41.86,58
QUEENS,All Grades,2011,White,16934,661,3263,3924,13010,23.17,77
QUEENS,All Grades,2012,Asian,34806,676,4064,4740,30066,13.62,86
QUEENS,All Grades,2012,Black,24704,2873,10187,13060,11644,52.87,47
QUEENS,All Grades,2012,Hispanic,44278,3156,13800,16956,27322,38.29,62
QUEENS,All Grades,2012,White,17330,650,3106,3756,13574,21.67,78
STATEN ISLAND,All Grades,2006,Asian,2029,66,232,298,1731,14.69,85
STATEN ISLAND,All Grades,2006,Black,3929,903,1333,2236,1693,56.91,43
STATEN ISLAND,All Grades,2006,Hispanic,4957,808,1510,2318,2639,46.76,53
STATEN ISLAND,All Grades,2006,White,14857,865,2784,3649,11208,24.56,75
STATEN ISLAND,All Grades,2007,Asian,2022,51,162,213,1809,10.53,89
STATEN ISLAND,All Grades,2007,Black,4019,676,1266,1942,2077,48.32,52
STATEN ISLAND,All Grades,2007,Hispanic,5275,592,1466,2058,3217,39.01,61
STATEN ISLAND,All Grades,2007,White,14452,586,2119,2705,11747,18.72,81
STATEN ISLAND,All Grades,2008,Asian,2010,26,106,132,1878,6.57,93
STATEN ISLAND,All Grades,2008,Black,3937,384,1117,1501,2436,38.13,62
STATEN ISLAND,All Grades,2008,Hispanic,5572,362,1302,1664,3908,29.86,70
STATEN ISLAND,All Grades,2008,White,14192,330,1373,1703,12489,12,88
STATEN ISLAND,All Grades,2009,Asian,2058,15,93,108,1950,5.25,95
STATEN ISLAND,All Grades,2009,Black,4016,234,969,1203,2813,29.96,70
STATEN ISLAND,All Grades,2009,Hispanic,5845,218,1038,1256,4589,21.49,79
STATEN ISLAND,All Grades,2009,White,14121,164,924,1088,13033,7.7,92
STATEN ISLAND,All Grades,2010,Asian,2098,55,307,362,1736,17.25,83
STATEN ISLAND,All Grades,2010,Black,3986,738,1888,2626,1360,65.88,34
STATEN ISLAND,All Grades,2010,Hispanic,6128,709,2607,3316,2812,54.11,46
STATEN ISLAND,All Grades,2010,White,13881,518,3345,3863,10018,27.83,72
STATEN ISLAND,All Grades,2011,Asian,2162,48,244,292,1870,13.51,86
STATEN ISLAND,All Grades,2011,Black,3955,670,1745,2415,1540,61.06,39
STATEN ISLAND,All Grades,2011,Hispanic,6355,668,2491,3159,3196,49.71,50
STATEN ISLAND,All Grades,2011,White,13868,456,2813,3269,10599,23.57,76
STATEN ISLAND,All Grades,2012,Asian,2111,43,225,268,1843,12.7,87
STATEN ISLAND,All Grades,2012,Black,3725,642,1625,2267,1458,60.86,39
STATEN ISLAND,All Grades,2012,Hispanic,6491,703,2351,3054,3437,47.05,53
STATEN ISLAND,All Grades,2012,White,14063,440,2735,3175,10888,22.58,77
